from_state,to_alphaR,to_alpha_prime,to_C7eq,to_PPII,to_C5,to_alphaL,to_alphaL_C7ax,to_C7ax,to_other
alphaR,0.6938775510204082,0.04081632653061224,0.14285714285714285,0.0,0.061224489795918366,0.0,0.0,0.061224489795918366,0.0
alpha_prime,0.17857142857142858,0.03571428571428571,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
C7eq,0.00830188679245283,0.017358490566037735,0.9320754716981132,0.02339622641509434,0.017358490566037735,0.0015094339622641509,0.0,0.0,0.0
PPII,0.0,0.0,0.19428571428571428,0.3942857142857143,0.4114285714285714,0.0,0.0,0.0,0.0
C5,0.00115549686365137,0.0,0.0029712776493892373,0.012380323539121822,0.9823374050841862,0.0,0.0,0.00115549686365137,0.0
alphaL,0.0,0.0,0.05,0.0,0.0,0.3,0.275,0.375,0.0
alphaL_C7ax,0.0,0.0,0.0,0.0,0.0024330900243309003,0.0267639902676399,0.8807785888077859,0.09002433090024331,0.0
C7ax,0.0037533512064343165,0.0,0.0005361930294906167,0.0,0.0021447721179624667,0.00804289544235925,0.02037533512064343,0.9651474530831099,0.0
other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
